coeff_intr,mixup_layer,ray/tune/best_accuracy
0.1,0.0,0.6999799609184265
0.3,0.0,0.6990999579429626
0.5,0.0,0.7073000073432922
0.7,0.0,0.7072399854660034
0.9,0.0,0.7037799954414368
0.1,1.0,0.7057999968528748
0.3,1.0,0.7019000053405762
0.5,1.0,0.7098399996757507
0.7,1.0,0.708579957485199
0.9,1.0,0.7033599615097046
0.1,2.0,0.7001399993896484
0.3,2.0,0.6974999904632568
0.5,2.0,0.7021600008010864
0.7,2.0,0.7021999955177307
0.9,2.0,0.7029599547386169
0.1,3.0,0.7004599571228027
0.3,3.0,0.7011199593544006
0.5,3.0,0.7026599645614624
0.7,3.0,0.7056999802589417
0.9,3.0,0.7096999883651733
0.1,4.0,0.7043600082397461
0.3,4.0,0.6992599964141846
0.5,4.0,0.7066799998283386
0.7,4.0,0.7076399922370911
0.9,4.0,0.7071200013160706
0.1,5.0,0.6962400078773499
0.3,5.0,0.7076999545097351
0.5,5.0,0.7069999575614929
0.7,5.0,0.7036600112915039
0.9,5.0,0.7046200037002563
0.1,6.0,0.6995599865913391
0.3,6.0,0.7028999924659729
0.5,6.0,0.7019400000572205
0.7,6.0,0.7092599868774414
0.9,6.0,0.7051599621772766
0.1,7.0,0.7005800008773804
0.3,7.0,0.7050399780273438
0.5,7.0,0.7001799941062927
0.7,7.0,0.7071999907493591
0.9,7.0,0.7098599672317505
0.1,8.0,0.6970599889755249
0.3,8.0,0.7054600119590759
0.5,8.0,0.7020999789237976
0.7,8.0,0.7085199952125549
0.9,8.0,0.7052199840545654
0.1,9.0,0.6985599994659424
0.3,9.0,0.7054199576377869
0.5,9.0,0.7050399780273438
0.7,9.0,0.7071999907493591
0.9,9.0,0.7026599645614624
0.1,10.0,0.7009599804878235
0.3,10.0,0.7014399766921997
0.5,10.0,0.7060999870300293
0.7,10.0,0.7058799862861633
0.9,10.0,0.7062999606132507
0.1,11.0,0.6997399926185608
0.3,11.0,0.7049199938774109
0.5,11.0,0.6979199647903442
0.7,11.0,0.7021999955177307
0.9,11.0,0.7085399627685547
